AOA(deg),Beta(deg),Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
-20.0000,0.0000,35.0000,0.0625,0.0000,-0.1106,-0.0825,0.0009,0.0956,0.0000,-4.4349,0.0000,
-19.0000,0.0000,35.0000,0.0666,0.0000,-0.1072,-0.0797,0.0011,0.0968,0.0000,-4.3008,0.0000,
-18.0000,0.0000,35.0000,0.0689,0.0000,-0.1021,-0.0758,0.0010,0.0961,0.0000,-4.1706,0.0000,
-17.0000,0.0000,35.0000,0.0711,0.0000,-0.0970,-0.0719,0.0009,0.0955,0.0000,-4.0348,0.0000,
-16.0000,0.0000,35.0000,0.0739,0.0000,-0.0919,-0.0680,0.0008,0.0955,0.0000,-3.8928,0.0000,
-15.0000,0.0000,35.0000,0.0765,0.0000,-0.0858,-0.0630,0.0008,0.0953,0.0000,-3.6918,0.0000,
-14.0000,0.0000,35.0000,0.0784,0.0000,-0.0804,-0.0591,0.0007,0.0948,0.0000,-3.5484,0.0000,
-13.0000,0.0000,35.0000,0.0853,0.0000,-0.0762,-0.0551,0.0007,0.0996,0.0000,-3.3881,0.0000,
-12.0000,0.0000,35.0000,0.0875,0.0000,-0.0709,-0.0511,0.0006,0.0997,0.0000,-3.2322,0.0000,
-11.0000,0.0000,35.0000,0.0871,0.0000,-0.0650,-0.0471,0.0006,0.0974,0.0000,-3.0756,0.0000,
-10.0000,0.0000,35.0000,0.0891,0.0000,-0.0595,-0.0431,0.0005,0.0975,0.0000,-2.9117,0.0000,
-9.0000,0.0000,35.0000,0.0845,0.0000,-0.0530,-0.0391,0.0004,0.0913,0.0000,-2.7546,0.0000,
-8.0000,0.0000,35.0000,0.0862,0.0000,-0.0475,-0.0351,0.0004,0.0916,0.0000,-2.5865,0.0000,
-7.0000,0.0000,35.0000,0.0909,0.0000,-0.0425,-0.0311,0.0003,0.0950,0.0000,-2.4137,0.0000,
-6.0000,0.0000,35.0000,0.0916,0.0000,-0.0368,-0.0270,0.0003,0.0946,0.0000,-2.2460,0.0000,
-5.0000,0.0000,35.0000,0.0917,0.0000,-0.0311,-0.0230,0.0002,0.0938,0.0000,-2.0779,0.0000,
-4.0000,0.0000,35.0000,0.0916,0.0000,-0.0254,-0.0189,0.0002,0.0929,0.0000,-1.9089,0.0000,
-3.0000,0.0000,35.0000,0.0922,0.0000,-0.0197,-0.0149,0.0002,0.0929,0.0000,-1.7390,0.0000,
-2.0000,0.0000,35.0000,0.0919,0.0000,-0.0140,-0.0108,0.0001,0.0922,0.0000,-1.5702,0.0000,
-1.0000,0.0000,35.0000,0.0927,0.0000,-0.0084,-0.0067,0.0001,0.0927,0.0000,-1.4039,0.0000,
0.0000,0.0000,35.0000,0.0934,0.0000,-0.0026,-0.0026,0.0001,0.0933,0.0000,-1.2385,0.0000,
1.0000,0.0000,35.0000,0.0989,0.0000,0.0040,0.0023,0.0000,0.0989,0.0000,-1.0612,0.0000,
2.0000,0.0000,35.0000,0.0974,0.0000,0.0094,0.0060,0.0000,0.0977,0.0000,-0.8955,0.0000,
3.0000,0.0000,35.0000,0.0954,0.0000,0.0153,0.0103,0.0001,0.0960,0.0000,-0.7352,0.0000,
4.0000,0.0000,35.0000,0.0940,0.0000,0.0209,0.0143,0.0000,0.0952,0.0000,-0.5731,0.0000,
5.0000,0.0000,35.0000,0.0938,0.0000,0.0265,0.0182,0.0000,0.0958,0.0000,-0.4100,0.0000,
6.0000,0.0000,35.0000,0.0909,0.0000,0.0318,0.0221,0.0000,0.0937,0.0000,-0.2518,0.0000,
7.0000,0.0000,35.0000,0.0906,0.0000,0.0374,0.0261,0.0000,0.0945,0.0000,-0.0954,0.0000,
8.0000,0.0000,35.0000,0.0851,0.0000,0.0423,0.0301,0.0000,0.0902,0.0000,0.0573,0.0000,
9.0000,0.0000,35.0000,0.0842,0.0000,0.0478,0.0341,0.0000,0.0906,0.0000,0.2107,0.0000,
10.0000,0.0000,35.0000,0.0820,0.0000,0.0531,0.0381,0.0000,0.0899,0.0000,0.3610,0.0000,
11.0000,0.0000,35.0000,0.0804,0.0000,0.0585,0.0421,0.0001,0.0900,0.0000,0.5102,0.0000,
12.0000,0.0000,35.0000,0.0789,0.0000,0.0639,0.0461,0.0001,0.0904,0.0000,0.6621,0.0000,
13.0000,0.0000,35.0000,0.0767,0.0000,0.0691,0.0501,0.0001,0.0901,0.0000,0.8147,0.0000,
14.0000,0.0000,35.0000,0.0747,0.0000,0.0743,0.0540,0.0001,0.0904,0.0000,0.9641,0.0000,
15.0000,0.0000,35.0000,0.0724,0.0000,0.0795,0.0580,0.0002,0.0904,0.0000,1.1112,0.0000,
16.0000,0.0000,35.0000,0.0692,0.0000,0.0843,0.0620,0.0002,0.0896,0.0000,1.2519,0.0000,
17.0000,0.0000,35.0000,0.0666,0.0000,0.0893,0.0659,0.0002,0.0895,0.0000,1.3885,0.0000,
18.0000,0.0000,35.0000,0.0641,0.0000,0.0943,0.0699,0.0003,0.0898,0.0000,1.5237,0.0000,
19.0000,0.0000,35.0000,0.0613,0.0000,0.0991,0.0738,0.0003,0.0899,0.0000,1.6552,0.0000,
20.0000,0.0000,35.0000,0.0583,0.0000,0.1039,0.0777,0.0004,0.0899,0.0000,1.7835,0.0000,
21.0000,0.0000,35.0000,0.0547,0.0000,0.1083,0.0815,0.0004,0.0895,0.0000,1.9084,0.0000,
22.0000,0.0000,35.0000,0.0506,0.0000,0.1125,0.0854,0.0005,0.0886,0.0000,2.0292,0.0000,
