AOA,Beta,Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
-20.0000,0.0000,35.0000,-0.5709,0.0000,-1.8794,-1.9613,0.0119,0.0945,0.0000,-1.9190,0.0000,
-19.0000,0.0000,35.0000,-0.5092,0.0000,-1.7993,-1.8671,0.0104,0.0939,0.0000,-1.8970,0.0000,
-18.0000,0.0000,35.0000,-0.4480,0.0000,-1.7146,-1.7692,0.0098,0.0940,0.0000,-1.8534,0.0000,
-17.0000,0.0000,35.0000,-0.3918,0.0000,-1.6304,-1.6737,0.0084,0.0936,0.0000,-1.8197,0.0000,
-16.0000,0.0000,35.0000,-0.3389,0.0000,-1.5445,-1.5780,0.0071,0.0928,0.0000,-1.7915,0.0000,
-15.0000,0.0000,35.0000,-0.2884,0.0000,-1.4554,-1.4804,0.0055,0.0927,0.0000,-1.7581,0.0000,
-14.0000,0.0000,35.0000,-0.2401,0.0000,-1.3661,-1.3836,0.0052,0.0923,0.0000,-1.7135,0.0000,
-13.0000,0.0000,35.0000,-0.1950,0.0000,-1.2754,-1.2866,0.0041,0.0927,0.0000,-1.6632,0.0000,
-12.0000,0.0000,35.0000,-0.1489,0.0000,-1.1832,-1.1883,0.0035,0.0968,0.0000,-1.6086,0.0000,
-11.0000,0.0000,35.0000,-0.1103,0.0000,-1.0888,-1.0898,0.0024,0.0971,0.0000,-1.5627,0.0000,
-10.0000,0.0000,35.0000,-0.0743,0.0000,-0.9939,-0.9916,0.0019,0.0976,0.0000,-1.5176,0.0000,
-9.0000,0.0000,35.0000,-0.0420,0.0000,-0.8989,-0.8944,0.0016,0.0975,0.0000,-1.4688,0.0000,
-8.0000,0.0000,35.0000,-0.0138,0.0000,-0.8016,-0.7957,0.0011,0.0968,0.0000,-1.4205,0.0000,
-7.0000,0.0000,35.0000,0.0114,0.0000,-0.7047,-0.6981,0.0008,0.0964,0.0000,-1.3648,0.0000,
-6.0000,0.0000,35.0000,0.0330,0.0000,-0.6072,-0.6005,0.0005,0.0959,0.0000,-1.3070,0.0000,
-5.0000,0.0000,35.0000,0.0471,0.0000,-0.5092,-0.5031,-0.0001,0.0915,0.0000,-1.2663,0.0000,
-4.0000,0.0000,35.0000,0.0623,0.0000,-0.4104,-0.4051,-0.0010,0.0917,0.0000,-1.2202,0.0000,
-3.0000,0.0000,35.0000,0.0732,0.0000,-0.3107,-0.3064,-0.0018,0.0912,0.0000,-1.1697,0.0000,
-2.0000,0.0000,35.0000,0.0813,0.0000,-0.2124,-0.2095,-0.0021,0.0908,0.0000,-1.1141,0.0000,
