AOA(deg),Beta(deg),Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
-20.0000,0.0000,35.0000,-0.2550,0.0000,-1.3680,-1.3727,0.1325,0.0958,0.0000,-2.3155,0.0000,
-19.0000,0.0000,35.0000,-0.2195,0.0000,-1.3013,-1.3018,0.1202,0.0960,0.0000,-2.2811,0.0000,
-18.0000,0.0000,35.0000,-0.1860,0.0000,-1.2333,-1.2304,0.1084,0.0959,0.0000,-2.2392,0.0000,
-17.0000,0.0000,35.0000,-0.1542,0.0000,-1.1648,-1.1590,0.0972,0.0959,0.0000,-2.1903,0.0000,
-16.0000,0.0000,35.0000,-0.1239,0.0000,-1.0956,-1.0873,0.0870,0.0959,0.0000,-2.1417,0.0000,
-15.0000,0.0000,35.0000,-0.0966,0.0000,-1.0256,-1.0157,0.0769,0.0953,0.0000,-2.0909,0.0000,
-14.0000,0.0000,35.0000,-0.0702,0.0000,-0.9556,-0.9442,0.0676,0.0955,0.0000,-2.0363,0.0000,
-13.0000,0.0000,35.0000,-0.0475,0.0000,-0.8852,-0.8732,0.0586,0.0942,0.0000,-1.9809,0.0000,
-12.0000,0.0000,35.0000,-0.0248,0.0000,-0.8146,-0.8019,0.0506,0.0946,0.0000,-1.9192,0.0000,
-11.0000,0.0000,35.0000,-0.0049,0.0000,-0.7427,-0.7300,0.0432,0.0938,0.0000,-1.8539,0.0000,
-10.0000,0.0000,35.0000,0.0140,0.0000,-0.6729,-0.6602,0.0361,0.0945,0.0000,-1.7796,0.0000,
-9.0000,0.0000,35.0000,0.0297,0.0000,-0.6033,-0.5912,0.0296,0.0941,0.0000,-1.7033,0.0000,
-8.0000,0.0000,35.0000,0.0438,0.0000,-0.5345,-0.5232,0.0237,0.0941,0.0000,-1.6194,0.0000,
-7.0000,0.0000,35.0000,0.0565,0.0000,-0.4667,-0.4563,0.0185,0.0945,0.0000,-1.5297,0.0000,
-6.0000,0.0000,35.0000,0.0654,0.0000,-0.3997,-0.3907,0.0140,0.0928,0.0000,-1.4340,0.0000,
-5.0000,0.0000,35.0000,0.0746,0.0000,-0.3344,-0.3266,0.0101,0.0934,0.0000,-1.3293,0.0000,
-4.0000,0.0000,35.0000,0.0813,0.0000,-0.2708,-0.2644,0.0070,0.0930,0.0000,-1.2200,0.0000,
-3.0000,0.0000,35.0000,0.0864,0.0000,-0.2092,-0.2044,0.0046,0.0926,0.0000,-1.1089,0.0000,
-2.0000,0.0000,35.0000,0.0906,0.0000,-0.1512,-0.1480,0.0030,0.0929,0.0000,-0.9971,0.0000,
-1.0000,0.0000,35.0000,0.0905,0.0000,-0.0959,-0.0943,0.0010,0.0911,0.0000,-0.8791,0.0000,
0.0000,0.0000,35.0000,0.0908,0.0000,0.0017,0.0017,0.0002,0.0907,0.0000,-0.7738,0.0000,
