AOA,Beta,Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
20.0000,0.0000,33.0000,0.4151,0.0000,1.4977,1.5493,0.0231,0.0991,0.0000,3.0767,0.0000,
19.0000,0.0000,33.0000,0.3637,0.0000,1.4204,1.4615,0.0212,0.0973,0.0000,2.9975,0.0000,
18.0000,0.0000,33.0000,0.3137,0.0000,1.3416,1.3729,0.0194,0.0968,0.0000,2.9141,0.0000,
17.0000,0.0000,33.0000,0.2665,0.0000,1.2618,1.2846,0.0177,0.0963,0.0000,2.8271,0.0000,
16.0000,0.0000,33.0000,0.2206,0.0000,1.1801,1.1952,0.0160,0.0972,0.0000,2.7385,0.0000,
15.0000,0.0000,33.0000,0.1786,0.0000,1.0965,1.1054,0.0145,0.0968,0.0000,2.6433,0.0000,
14.0000,0.0000,33.0000,0.1401,0.0000,1.0112,1.0151,0.0130,0.0956,0.0000,2.5457,0.0000,
13.0000,0.0000,33.0000,0.1049,0.0000,0.9244,0.9243,0.0116,0.0941,0.0000,2.4471,0.0000,
12.0000,0.0000,33.0000,0.0715,0.0000,0.8369,0.8335,0.0104,0.0937,0.0000,2.3472,0.0000,
11.0000,0.0000,33.0000,0.0406,0.0000,0.7478,0.7418,0.0092,0.0937,0.0000,2.2477,0.0000,
10.0000,0.0000,33.0000,0.0128,0.0000,0.6579,0.6501,0.0081,0.0936,0.0000,2.1472,0.0000,
9.0000,0.0000,33.0000,0.0112,0.0000,0.5671,0.5584,0.0071,0.0926,0.0000,2.0410,0.0000,
8.0000,0.0000,33.0000,0.0329,0.0000,0.4756,0.4664,0.0063,0.0925,0.0000,1.9280,0.0000,
7.0000,0.0000,33.0000,0.0517,0.0000,0.3835,0.3743,0.0054,0.0926,0.0000,1.8112,0.0000,
6.0000,0.0000,33.0000,0.0667,0.0000,0.2909,0.2823,0.0045,0.0922,0.0000,1.6829,0.0000,
5.0000,0.0000,33.0000,0.0787,0.0000,0.1980,0.1904,0.0036,0.0920,0.0000,1.5526,0.0000,
4.0000,0.0000,33.0000,0.0885,0.0000,0.1053,0.0988,0.0027,0.0929,0.0000,1.4121,0.0000,
3.0000,0.0000,33.0000,0.0940,0.0000,0.0127,0.0077,0.0018,0.0928,0.0000,1.2595,0.0000,
2.0000,0.0000,33.0000,0.0986,0.0000,0.0791,0.0825,0.0011,0.0947,0.0000,1.1028,0.0000,
1.0000,0.0000,33.0000,0.0985,0.0000,0.1711,0.1727,0.0005,0.0950,0.0000,0.9438,0.0000,
0.0000,0.0000,33.0000,0.0948,0.0000,0.2569,0.2569,0.0001,0.0947,0.0000,0.7606,0.0000,
1.0000,0.0000,33.0000,0.0882,0.0000,0.3600,0.3584,0.0001,0.0946,0.0000,0.5857,0.0000,
2.0000,0.0000,33.0000,0.0773,0.0000,0.4519,0.4489,0.0002,0.0932,0.0000,0.4185,0.0000,
3.0000,0.0000,33.0000,0.0647,0.0000,0.5437,0.5395,0.0003,0.0933,0.0000,0.2439,0.0000,
4.0000,0.0000,33.0000,0.0481,0.0000,0.6348,0.6299,0.0001,0.0924,0.0000,0.0684,0.0000,
5.0000,0.0000,33.0000,0.0283,0.0000,0.7257,0.7205,0.0001,0.0914,0.0000,0.1085,0.0000,
6.0000,0.0000,33.0000,0.0069,0.0000,0.8162,0.8110,0.0004,0.0918,0.0000,0.2837,0.0000,
7.0000,0.0000,33.0000,0.0184,0.0000,0.9058,0.9012,0.0007,0.0914,0.0000,0.4590,0.0000,
8.0000,0.0000,33.0000,0.0437,0.0000,0.9948,0.9912,0.0012,0.0940,0.0000,0.6352,0.0000,
9.0000,0.0000,33.0000,0.0770,0.0000,1.0823,1.0810,0.0017,0.0916,0.0000,0.8018,0.0000,
10.0000,0.0000,33.0000,0.1111,0.0000,1.1690,1.1705,0.0024,0.0912,0.0000,0.9786,0.0000,
11.0000,0.0000,33.0000,0.1444,0.0000,1.2551,1.2596,0.0032,0.0945,0.0000,1.1584,0.0000,
12.0000,0.0000,33.0000,0.1838,0.0000,1.3394,1.3483,0.0041,0.0945,0.0000,1.3354,0.0000,
13.0000,0.0000,33.0000,0.2258,0.0000,1.4223,1.4366,0.0051,0.0949,0.0000,1.5084,0.0000,
14.0000,0.0000,33.0000,0.2705,0.0000,1.5038,1.5246,0.0060,0.0953,0.0000,1.6939,0.0000,
15.0000,0.0000,33.0000,0.3184,0.0000,1.5836,1.6121,0.0071,0.0952,0.0000,1.8772,0.0000,
16.0000,0.0000,33.0000,0.3675,0.0000,1.6623,1.6992,0.0083,0.0967,0.0000,2.0556,0.0000,
17.0000,0.0000,33.0000,0.4198,0.0000,1.7391,1.7859,0.0095,0.0975,0.0000,2.2293,0.0000,
