AOA,Beta,Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
-20.0000,0.0000,33.0000,-0.3563,0.0000,-1.3055,-1.3487,0.0120,0.0997,0.0000,-1.9599,0.0000,
-19.0000,0.0000,33.0000,-0.3119,0.0000,-1.2446,-1.2783,0.0109,0.0993,0.0000,-1.9542,0.0000,
-18.0000,0.0000,33.0000,-0.2705,0.0000,-1.1817,-1.2075,0.0099,0.0980,0.0000,-1.9492,0.0000,
-17.0000,0.0000,33.0000,-0.2318,0.0000,-1.1180,-1.1369,0.0088,0.0964,0.0000,-1.9394,0.0000,
-16.0000,0.0000,33.0000,-0.1931,0.0000,-1.0530,-1.0654,0.0079,0.0968,0.0000,-1.9327,0.0000,
-15.0000,0.0000,33.0000,-0.1574,0.0000,-0.9864,-0.9936,0.0069,0.0964,0.0000,-1.9255,0.0000,
-14.0000,0.0000,33.0000,-0.1246,0.0000,-0.9186,-0.9214,0.0061,0.0953,0.0000,-1.9167,0.0000,
-13.0000,0.0000,33.0000,-0.0934,0.0000,-0.8497,-0.8490,0.0053,0.0948,0.0000,-1.9080,0.0000,
-12.0000,0.0000,33.0000,-0.0652,0.0000,-0.7800,-0.7766,0.0046,0.0938,0.0000,-1.8943,0.0000,
-11.0000,0.0000,33.0000,-0.0385,0.0000,-0.7093,-0.7036,0.0040,0.0936,0.0000,-1.8804,0.0000,
-10.0000,0.0000,33.0000,-0.0144,0.0000,-0.6377,-0.6305,0.0034,0.0932,0.0000,-1.8639,0.0000,
-9.0000,0.0000,33.0000,0.0077,0.0000,-0.5656,-0.5574,0.0028,0.0932,0.0000,-1.8422,0.0000,
-8.0000,0.0000,33.0000,0.0261,0.0000,-0.4925,-0.4841,0.0023,0.0920,0.0000,-1.8149,0.0000,
-7.0000,0.0000,33.0000,0.0435,0.0000,-0.4192,-0.4107,0.0019,0.0924,0.0000,-1.7829,0.0000,
-6.0000,0.0000,33.0000,0.0575,0.0000,-0.3453,-0.3374,0.0015,0.0917,0.0000,-1.7456,0.0000,
-5.0000,0.0000,33.0000,0.0706,0.0000,-0.2717,-0.2645,0.0013,0.0927,0.0000,-1.7063,0.0000,
-4.0000,0.0000,33.0000,0.0802,0.0000,-0.1974,-0.1913,0.0010,0.0927,0.0000,-1.6636,0.0000,
