AOA,Beta,Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
-20.0000,0.0000,35.0000,-0.4317,0.0000,-1.4840,-1.5421,0.0116,0.0903,0.0000,-2.2342,0.0000,
-19.0000,0.0000,35.0000,-0.3813,0.0000,-1.4160,-1.4630,0.0102,0.0902,0.0000,-2.2140,0.0000,
-18.0000,0.0000,35.0000,-0.3332,0.0000,-1.3463,-1.3834,0.0092,0.0900,0.0000,-2.1950,0.0000,
-17.0000,0.0000,35.0000,-0.2875,0.0000,-1.2752,-1.3035,0.0083,0.0896,0.0000,-2.1754,0.0000,
-16.0000,0.0000,35.0000,-0.2441,0.0000,-1.2013,-1.2221,0.0067,0.0898,0.0000,-2.1527,0.0000,
-15.0000,0.0000,35.0000,-0.2031,0.0000,-1.1275,-1.1416,0.0059,0.0897,0.0000,-2.1234,0.0000,
-14.0000,0.0000,35.0000,-0.1653,0.0000,-1.0521,-1.0608,0.0053,0.0889,0.0000,-2.0935,0.0000,
-13.0000,0.0000,35.0000,-0.1293,0.0000,-0.9756,-0.9797,0.0046,0.0888,0.0000,-2.0580,0.0000,
-12.0000,0.0000,35.0000,-0.0959,0.0000,-0.8974,-0.8978,0.0040,0.0888,0.0000,-2.0179,0.0000,
-11.0000,0.0000,35.0000,-0.0656,0.0000,-0.8186,-0.8161,0.0034,0.0884,0.0000,-1.9823,0.0000,
-10.0000,0.0000,35.0000,-0.0377,0.0000,-0.7390,-0.7343,0.0030,0.0883,0.0000,-1.9432,0.0000,
-9.0000,0.0000,35.0000,-0.0125,0.0000,-0.6585,-0.6524,0.0025,0.0881,0.0000,-1.9017,0.0000,
-8.0000,0.0000,35.0000,0.0074,0.0000,-0.5771,-0.5704,0.0021,0.0856,0.0000,-1.8601,0.0000,
-7.0000,0.0000,35.0000,0.0267,0.0000,-0.4955,-0.4885,0.0017,0.0852,0.0000,-1.8141,0.0000,
-6.0000,0.0000,35.0000,0.0434,0.0000,-0.4135,-0.4067,0.0014,0.0849,0.0000,-1.7665,0.0000,
-5.0000,0.0000,35.0000,0.0572,0.0000,-0.3312,-0.3250,0.0012,0.0846,0.0000,-1.7194,0.0000,
-4.0000,0.0000,35.0000,0.0678,0.0000,-0.2487,-0.2434,0.0010,0.0840,0.0000,-1.6737,0.0000,
-3.0000,0.0000,35.0000,0.0771,0.0000,-0.1662,-0.1619,0.0009,0.0848,0.0000,-1.6232,0.0000,
-2.0000,0.0000,35.0000,0.0826,0.0000,-0.0826,-0.0797,0.0005,0.0849,0.0000,-1.5707,0.0000,
-1.0000,0.0000,35.0000,0.0877,0.0000,0.0001,0.0017,0.0005,0.0871,0.0000,-1.5137,0.0000,
