ONERA OA209 AIRFOIL                             
 Alfa =   7.87879 Re =  1680000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
  57.00000 57.00000      NaN
   0.00000  0.00000      NaN
   0.00029  0.00286      NaN
   0.00078  0.00475      NaN
   0.00176  0.00722      NaN
   0.00489  0.01216      NaN
   0.00704  0.01458      NaN
   0.00977  0.01715      NaN
   0.01564  0.02162      NaN
   0.02248  0.02585      NaN
   0.02933  0.02944      NaN
   0.03519  0.03217      NaN
   0.03911  0.03384      NaN
   0.04497  0.03614      NaN
   0.05377  0.03919      NaN
   0.06355  0.04213      NaN
   0.07333  0.04467      NaN
   0.08310  0.04687      NaN
   0.09288  0.04880      NaN
   0.12221  0.05322      NaN
   0.14666  0.05571      NaN
   0.17110  0.05739      NaN
   0.19555  0.05841      NaN
   0.21999  0.05893      NaN
   0.24444  0.05906      NaN
   0.26888  0.05889      NaN
   0.29333  0.05851      NaN
   0.31777  0.05800      NaN
   0.34222  0.05742      NaN
   0.36666  0.05679      NaN
   0.39111  0.05610      NaN
   0.41556  0.05533      NaN
   0.44000  0.05445      NaN
   0.46445  0.05343      NaN
   0.48889  0.05225      NaN
   0.51334  0.05092      NaN
   0.53778  0.04943      NaN
   0.56223  0.04781      NaN
   0.58667  0.04604      NaN
   0.61112  0.04413      NaN
   0.63556  0.04208      NaN
   0.66001  0.03988      NaN
   0.68445  0.03754      NaN
   0.70890  0.03504      NaN
   0.73335  0.03241      NaN
   0.75779  0.02964      NaN
   0.78224  0.02673      NaN
   0.80668  0.02367      NaN
   0.83113  0.02044      NaN
   0.85069  0.01771      NaN
   0.87024  0.01484      NaN
   0.88002  0.01336      NaN
   0.89958  0.01036      NaN
   0.91913  0.00747      NaN
   0.93869  0.00491      NaN
   0.95111  0.00358      NaN
   0.97780  0.00198      NaN
   1.00000  0.00252      NaN
   0.00000  0.00000      NaN
   0.00029 -0.00260      NaN
   0.00078 -0.00408      NaN
   0.00176 -0.00579      NaN
   0.00489 -0.00862      NaN
   0.00704 -0.00979      NaN
   0.00978 -0.01091      NaN
   0.01565 -0.01261      NaN
   0.02249 -0.01401      NaN
   0.02934 -0.01509      NaN
   0.03520 -0.01587      NaN
   0.03912 -0.01633      NaN
   0.04498 -0.01696      NaN
   0.05378 -0.01780      NaN
   0.06356 -0.01864      NaN
   0.07334 -0.01942      NaN
   0.08312 -0.02016      NaN
   0.09290 -0.02089      NaN
   0.12223 -0.02299      NaN
   0.14667 -0.02467      NaN
   0.17112 -0.02626      NaN
   0.19557 -0.02772      NaN
   0.22001 -0.02900      NaN
   0.24446 -0.03007      NaN
   0.26890 -0.03092      NaN
   0.29335 -0.03158      NaN
   0.31779 -0.03208      NaN
   0.34224 -0.03249      NaN
   0.36668 -0.03284      NaN
   0.39113 -0.03312      NaN
   0.41557 -0.03333      NaN
   0.44002 -0.03342      NaN
   0.46446 -0.03337      NaN
   0.48891 -0.03316      NaN
   0.51335 -0.03279      NaN
   0.53780 -0.03227      NaN
   0.56224 -0.03161      NaN
   0.58669 -0.03081      NaN
   0.61113 -0.02988      NaN
   0.63558 -0.02879      NaN
   0.66002 -0.02757      NaN
   0.68447 -0.02619      NaN
   0.70891 -0.02467      NaN
   0.73336 -0.02301      NaN
   0.75780 -0.02122      NaN
   0.78225 -0.01928      NaN
   0.80669 -0.01718      NaN
   0.83114 -0.01490      NaN
   0.85069 -0.01292      NaN
   0.87025 -0.01080      NaN
   0.88003 -0.00971      NaN
   0.89958 -0.00755      NaN
   0.91914 -0.00555      NaN
   0.93869 -0.00393      NaN
   0.95111 -0.00318      NaN
   0.97780 -0.00243      NaN
   1.00000 -0.00251      NaN
